NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.4,47.9,48.2,47.6,46.8,48,49.6,51.8,52.7,54.2,56.4,57.4,56,55.6,55.4,56.9,58.8,59,58.8,59.4,59.9,61.3,61.7,62,63,63,64.6,65.4,66.1,66.7,66.3,66.1,66.7,66.6,66.4,66.1,66.8,67.4,68.1,69.2,70,68.6,71.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.5,59.6,60.1,61.3,61.6,59.8,61.1,62.2,63.5,64.8,65.2,65.7,66.1,66.6,66.8,66.9,67.1,67.7,68.2,68.6,69.2,67.4,68.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.4,51.5,51,51.4,51.8,52.6,53.8,54,55.3,56.1,56,56.5,56.7,56.8,57.2,58,58,58.1,58.7,60.8,61.7,60.8,61.8
NaN,NaN,NaN,NaN,NaN,47.1,47.6,48.9,51,52.6,54.2,53,53.5,54.5,56.4,58,59.4,61.2,62.4,62.8,61.9,61,60.5,61.1,61.6,61.5,62.1,63.5,64.6,65.6,65.9,66.9,68,68.3,68.2,68.8,69.8,69.8,68.9,68.8,68.8,69.3,69.8,69.5,69.6,69.7,70.5,70.9,71.7,66.9,70.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38,39.1,40.4,42.1,42.2,47.3,49.8,50.8,51.8,52.5,52.6,53.1,54.1,54.5,55,46.6,49
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46,46.4,48.8,50.7,52.3,54,54.4,55,55.9,55.8,55.8,55.1,54,45.7,44.6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.1,71.6,72,71.7,70.5,71.6,71.9,73.5,73.2,72.3,70.9,69.5,68.8,68.5,68.3,68.1,68.7,69.8,70.5,71.3,72,71.4,72.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.8,63.4,64.2,65.4,66.2,65.7,65.5,66.5,67.3,68.5,69,67.1,65.8,66.3,67.1,67,67.2,66.8,66.8,67.5,69.7,70.6,69.6,71.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.3,59.3,59.5,59.7,60.6,61.3,60.9,60.8,60.7,61,61.3,61.8,62.1,62.4,62.6,63.3,63.9,63.6,64.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.6,61.5,63.2,64.3,64.3,65.3,66.9,67.2,68,68.6,69,69.9,70.6,71.2,71.8,73.2,72
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.5,41,41.6,41.6,43,44.3,45.3,46,47.3,47.7,48.6,48.5,47.4,44.5,41.2,39.5,40.7,42.1,42.8,43.9,44.6,46.6,44.7,48.2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.1,78.8,80.5,80.9,80.8,79.6,76.5,76.2,76.6,77.9,79,80.5,82.3,83.6,83.5,82.5,81.9,77.8,76.8
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.1,48.6,48.4,48.7,49.8,50.9,50.4,50.2,50.6,51,52.5,53.3,54.6,55.6,55.9,56.9,57.5,62.4,63,64.2,64.6,65.2,65.7,66.4,66.4,64.9,65.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.3,38.3,39.5,41.1,42,42.6,45.5,45.4,46.4,46.6,47.3,46.1,45.9,46.3,46.8,46.3,46.6,47,48,48.9,49.5,50.2,48.4,49.4
51.9,51,51.5,49.9,49,49.2,50.2,51,51.4,51.6,51.8,52.2,53.2,53.2,53.3,53.4,53.5,54.1,55.1,56,56.8,57.1,56.7,56.6,56.5,56.9,57.5,57.3,56.8,56.8,57.1,56.6,56.9,57.5,58.2,58.9,59.6,59.9,59.9,60.2,60.8,60.7,62.5,63.7,64.7,66.2,67.7,69.9,71.4,71.1,71.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.1,51,52,51.2,52.3,52.6,53.2,53.4,53.3,52.3,52.7,53.1,53.5,54,55,55.7,56.1,56.9,57.2,57.8,56.7,57.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.9,51.9,53.7,54.6,56.1,55.1,57,57.2,56.9,59,59.1,60.5,60.8,60.4,62.5,63.4,63.6,64,66
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.8,43.1,43.6,43.3,43.3,43.2,43.7,44.9,45,44.2,44.7,45.1,45,45.7,47.1,NaN,46.2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.5,65.3,66.2,66,65.8,63,64.2,66.5,68.2,70.3,70.1,70.8,71.2,70.8,69.9,71,71.9,73.1,74.6,75.9,75.7,76.6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,60.8,59.3,57.3,58.3,57.2,57.1,57.6,59.5,61.3,62.9,62.3,61.6,62.5,63.1,64.4,65,65.4,66,67.4,68,68.6,68.5,67.2,66.4,67,66.7,67.6,69,69.1,70.6,72,73,73.2,72.2,74.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.7,73.6,73.7,72.5,72.3,71.8,72.3,74,75.4,74.4,73.3,73.4,73.8,73.5,73.3,73,72.8,72.4,72.7,73.1,72.7,74.3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.2,59.5,60.5,61.3,61.4,61.4,61.5,61.5,61.8,61.8,62.5,58.2,57.9,58,56.5,56.2,58.5,60.1,61.6,64,66.3,67,66.2,67.2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.5,41.3,43.1,45,46.9,48.8,51.8,53.8,55.2,55.4,53.3,52.8,52.6,51.1,50.3,51.2,52.7,54.3,55.6,56.9,57.9,55.8,58
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.3,72.2,71.5,70.5,70.2,70.7,71.8,71.8,69.5,69,70.6,71.2,71.8,72.5,73.3,74.2,74.7,75.2,74.7,72.8,73.3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.4,71.1,71.6,73.5,73.6,71.3,72.5,73,73.2,74.1,74.7,75.4,75.2,75.7,76.3,75.9,75.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.8,22.8,23.5,24.2,26.2,27.8,28.7,29.6,29.5,30.4,31.1,32.2,32.9,32.2,29.7,31.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.8,62.2,62.8,63.5,64.3,64.7,65.3,65.9,66,66.3,66.5,66.7,66.8,66.8,66.6,66.8,65.8,65.5,65.4,65.9,66.8,68,68.8,69.6,70.5,71.2,72,71.8,72
45.9,46.8,48.1,49,48.4,49.9,51.4,53.7,55.1,55.4,55.9,55.6,56.2,58.1,59.3,60.5,61.9,63,64.1,64,63.3,63.6,64,65.2,65.8,66.3,67.1,67.4,67.6,67.8,67.1,66.1,65.7,65.4,65.6,66.1,65.9,65.5,63.4,62.4,62,62.2,62.3,63,63.4,64,64.9,65.5,66.3,62.2,64.6
